Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM,
Fluxo,S13,BR,18,55.6%,1.25,1789,47,33:26,14.3,11.4,7.3,6.1,55.6,50.0,2.50,54.1,1.06,52.8,0.89,-0.1,342,4.17,0.94,51.9,30.3,2483,2.4,1.22,1.53
FURIA Esports,S13,BR,18,50.0%,1.07,1794,39,35:58,12.6,11.8,6.9,6.9,55.6,72.2,2.44,50.1,1.28,63.9,1.00,0.3,756,4.44,0.83,44.0,32.0,2023,2.7,1.47,1.71
INTZ e-Sports,S13,BR,18,38.9%,0.79,1762,-90,31:58,13.8,17.5,5.8,6.3,44.4,50.0,2.00,43.3,0.94,47.2,0.83,-0.1,-442,3.61,0.78,42.6,30.3,2240,2.6,1.33,1.60
KaBuM! e-Sports,S13,BR,18,38.9%,0.99,1794,7,34:57,14.6,14.8,6.3,7.1,38.9,55.6,2.56,52.8,0.83,44.4,1.06,0.1,18,4.00,0.83,49.1,31.3,2396,2.9,1.52,1.72
Liberty,S13,BR,18,27.8%,0.65,1701,-141,35:03,10.3,15.8,5.0,8.4,33.3,61.1,2.00,39.7,0.94,47.2,0.67,0.1,-568,3.56,0.72,40.7,30.7,2140,2.9,1.47,1.54
Los Grandes,S13,BR,18,66.7%,1.14,1866,112,32:45,14.6,12.8,7.2,5.5,44.4,50.0,2.50,54.6,1.06,52.8,0.89,-0.3,-283,5.33,1.17,59.3,32.5,2351,2.4,1.30,1.54
LOUD,S13,BR,18,66.7%,1.10,1810,49,32:29,14.4,13.1,7.1,5.8,50.0,44.4,2.39,57.4,1.00,50.0,1.17,0.1,-11,4.33,0.83,54.4,31.1,2376,2.7,1.45,1.45
paiN Gaming,S13,BR,18,66.7%,1.18,1783,66,33:13,12.8,10.8,7.1,5.2,50.0,44.4,2.44,50.0,0.72,38.9,0.72,-0.1,332,4.61,0.72,62.5,32.0,2104,2.6,1.55,1.66
RED Canids,S13,BR,18,61.1%,1.32,1790,52,32:49,13.4,10.1,6.7,5.8,77.8,27.8,2.50,54.6,0.89,44.4,0.89,-0.1,-402,3.33,0.83,58.3,32.2,1991,2.6,1.35,1.54
Vivo Keyd Stars,S13,BR,18,27.8%,0.84,1714,-142,33:44,14.1,16.8,5.2,7.4,50.0,44.4,2.06,43.3,1.11,58.3,0.78,0.1,257,3.72,0.56,38.2,30.3,2158,2.6,1.54,1.59